word,category,n_tokens,pos,token_id,token,next_token_id,final_top1_token,probe,raw_top1,raw_top1_prob,raw_self_rank,raw_next_rank,raw_final1_rank,normed_top1,normed_top1_prob,normed_self_rank,normed_next_rank,normed_final1_rank,raw_top5,normed_top5
dog,common_noun,1,0,18964,dog,,",",emb,gy,1.9e-05,25113,,41488,gy,0.045999,25459,,39533,gy:0.0000;geh:0.0000;ument:0.0000;ged:0.0000;Ġperm:0.0000,gy:0.0460;geh:0.0123;ument:0.0103;anko:0.0056;imas:0.0049
dog,common_noun,1,0,18964,dog,,",",layer_1,.sul,1.8e-05,20755,,12842,.sul,0.016168,26408,,20333,.sul:0.0000;volt:0.0000;ument:0.0000;udge:0.0000;Ġbreath:0.0000,.sul:0.0162;ument:0.0080;volt:0.0077;udge:0.0068;pow:0.0053
dog,common_noun,1,0,18964,dog,,",",layer_2,.sul,2e-05,21775,,12516,.sul,0.036417,29486,,20898,.sul:0.0000;ument:0.0000;Ġbreath:0.0000;volt:0.0000;pow:0.0000,.sul:0.0364;ument:0.0184;pow:0.0105;Ġbreath:0.0087;volt:0.0056
dog,common_noun,1,0,18964,dog,,",",layer_4,ument,1.9e-05,10719,,6000,ument,0.024534,17885,,13667,ument:0.0000;orsch:0.0000;volt:0.0000;onas:0.0000;pow:0.0000,ument:0.0245;.sul:0.0095;pow:0.0093;onas:0.0082;Ġbreath:0.0049
dog,common_noun,1,0,18964,dog,,",",layer_7,orsch,1.5e-05,3777,,5261,orsch,0.003889,8363,,20384,orsch:0.0000;âĢĶthe:0.0000;âĢĶwith:0.0000;ĠNÃ¤:0.0000;Ġcellspacing:0.0000,orsch:0.0039;ging:0.0027;iele:0.0024;oftware:0.0023;AW:0.0022
dog,common_noun,1,0,18964,dog,,",",layer_11,contador,1.7e-05,642,,3621,contador,0.007124,756,,18518,contador:0.0000;nown:0.0000;Ġ('\:0.0000;ĠgetClass:0.0000;iplinary:0.0000,contador:0.0071;=wx:0.0015;nip:0.0015;Ġ('\:0.0015;arde:0.0013
dog,common_noun,1,0,18964,dog,,",",layer_14,contador,1.7e-05,2875,,798,contador,0.013631,2729,,5141,contador:0.0000;KANJI:0.0000;nown:0.0000;iplinary:0.0000;Ġ('\:0.0000,contador:0.0136;KANJI:0.0020;Ġ('\:0.0011;ë©Ķ:0.0008;(vo:0.0007
dog,common_noun,1,0,18964,dog,,",",layer_18,contador,1.7e-05,835,,1491,contador,0.010608,519,,9000,contador:0.0000;KANJI:0.0000;<quote:0.0000;anean:0.0000;nown:0.0000,contador:0.0106;KANJI:0.0011;<quote:0.0008;Ġindispens:0.0004;anean:0.0004
dog,common_noun,1,0,18964,dog,,",",layer_21,contador,1.8e-05,784,,959,contador,0.004337,563,,3738,contador:0.0000;KANJI:0.0000;ĠgetLogger:0.0000;Ġ('\:0.0000;anean:0.0000,contador:0.0043;Ġ[{':0.0010;Ġrefr:0.0007;wdx:0.0006;KANJI:0.0006
dog,common_noun,1,0,18964,dog,,",",layer_23,contador,2e-05,670,,1540,contador,0.009717,477,,7048,contador:0.0000;KANJI:0.0000;Ġ('\:0.0000;ĠgetLogger:0.0000;<quote:0.0000,contador:0.0097;wdx:0.0012;Ġrefr:0.0010;Ġ('\:0.0009;Ġ[{':0.0008
dog,common_noun,1,0,18964,dog,,",",layer_25,contador,2.2e-05,530,,1547,contador,0.014361,340,,7121,contador:0.0000;KANJI:0.0000;Ġ('\:0.0000;ĠgetLogger:0.0000;Ġjwt:0.0000,contador:0.0144;wdx:0.0011;Ġrefr:0.0007;Ġ[{':0.0007;Ġ('\:0.0006
dog,common_noun,1,0,18964,dog,,",",layer_27,<quote,1.9e-05,1307,,2034,Ġrefr,0.001532,1283,,9331,<quote:0.0000;Ġjwt:0.0000;contador:0.0000;Ġ('\:0.0000;ĠgetLogger:0.0000,Ġrefr:0.0015;wdx:0.0014;Ġpret:0.0008;contador:0.0008;Ġclave:0.0007
dog,common_noun,1,0,18964,dog,,",",layer_28,contador,2.2e-05,1233,,5101,contador,0.003226,1138,,24325,contador:0.0000;<quote:0.0000;Ġ('\:0.0000;ĠgetLogger:0.0000;Ġjwt:0.0000,contador:0.0032;wdx:0.0027;/Dk:0.0011;Ġrefr:0.0011;Ġkarakter:0.0010
