word,category,n_tokens,pos,token_id,token,next_token_id,final_top1_token,probe,raw_top1,raw_top1_prob,raw_self_rank,raw_next_rank,raw_final1_rank,normed_top1,normed_top1_prob,normed_self_rank,normed_next_rank,normed_final1_rank,raw_top5,normed_top5
dog,common_noun,1,0,12240,dog,,dog,emb,dog,1.0,1,,1,dog,1.0,1,,1,dog:1.0000;▁dog:0.0000;Dog:0.0000;▁Dog:0.0000;▁DOG:0.0000,dog:1.0000;▁dog:0.0000;Dog:0.0000;▁Dog:0.0000;▁DOG:0.0000
dog,common_noun,1,0,12240,dog,,dog,layer_1,dog,1.0,1,,1,dog,1.0,1,,1,dog:1.0000;▁dog:0.0000;Dog:0.0000;▁Dog:0.0000;▁DOG:0.0000,dog:1.0000;▁dog:0.0000;Dog:0.0000;▁Dog:0.0000;▁DOG:0.0000
dog,common_noun,1,0,12240,dog,,dog,layer_2,<bos>,0.945896,2,,2,dog,1.0,1,,1,<bos>:0.9459;dog:0.0541;Dog:0.0000;▁dog:0.0000;▁Dog:0.0000,dog:1.0000;▁dog:0.0000;Dog:0.0000;▁Dog:0.0000;▁DOG:0.0000
dog,common_noun,1,0,12240,dog,,dog,layer_3,dog,0.99993,1,,1,dog,1.0,1,,1,dog:0.9999;Dog:0.0001;▁dog:0.0000;▁Dog:0.0000;▁DOG:0.0000,dog:1.0000;Dog:0.0000;▁dog:0.0000;▁Dog:0.0000;▁DOG:0.0000
dog,common_noun,1,0,12240,dog,,dog,layer_6,<bos>,0.999999,2,,2,dog,0.976048,1,,1,<bos>:1.0000;dog:0.0000;Dog:0.0000;▁يتيمه:0.0000;DOG:0.0000,dog:0.9760;▁يتيمه:0.0139;Dog:0.0097;▁Dog:0.0002;DOG:0.0001
dog,common_noun,1,0,12240,dog,,dog,layer_9,▁يتيمه,0.999895,2,,2,▁يتيمه,0.999996,2,,2,▁يتيمه:0.9999;dog:0.0000;▁DOG:0.0000;</thead>:0.0000;enumi:0.0000,▁يتيمه:1.0000;dog:0.0000;▁DOG:0.0000;Dog:0.0000;DOG:0.0000
dog,common_noun,1,0,12240,dog,,dog,layer_12,StandardCharsets,0.974967,154,,154,StandardCharsets,0.982616,18,,18,"StandardCharsets:0.9750;\{\\:0.0168;</thead>:0.0073;:0.0005;csolódó:0.0002","StandardCharsets:0.9826;</thead>:0.0082;\{\\:0.0053;Dog:0.0011;:0.0004"
dog,common_noun,1,0,12240,dog,,dog,layer_14,enumi,0.994829,241,,241,enumi,0.729241,64,,64,enumi:0.9948;StandardCharsets:0.0050;mouseup:0.0001;▁lainnya:0.0000;SafeMath:0.0000,enumi:0.7292;StandardCharsets:0.2306;mouseup:0.0225;readAs:0.0036;AddTagHelper:0.0024
dog,common_noun,1,0,12240,dog,,dog,layer_17,mouseup,0.543217,7,,7,mouseup,0.371468,3,,3,"mouseup:0.5432;enumi:0.3769;:0.0490;ImageIO:0.0110;ical:0.0064",mouseup:0.3715;Dog:0.1470;dog:0.1255;▁quæ:0.0641;DOG:0.0618
dog,common_noun,1,0,12240,dog,,dog,layer_19,▁houſe,0.974427,16,,16,▁houſe,0.939952,17,,17,▁houſe:0.9744;enumi:0.0254;▁ſtre:0.0002;▁ſmall:0.0000;ImageIO:0.0000,▁houſe:0.9400;▁ſtre:0.0552;enumi:0.0026;▁ſmall:0.0011;▁beſt:0.0003
dog,common_noun,1,0,12240,dog,,dog,layer_20,▁dogs,0.771495,3,,3,▁houſe,0.99639,3,,3,▁dogs:0.7715;▁dog:0.1852;dog:0.0295;▁houſe:0.0089;Dog:0.0047,▁houſe:0.9964;▁ſtre:0.0016;dog:0.0006;Dog:0.0004;▁Diſ:0.0002
dog,common_noun,1,0,12240,dog,,dog,layer_21,▁dog,0.911722,3,,3,▁houſe,0.998023,2,,2,"▁dog:0.9117;▁endless:0.0494;dog:0.0229;▁dogs:0.0130;:0.0016",▁houſe:0.9980;dog:0.0008;▁Houſe:0.0002;▁faſt:0.0001;▁ſta:0.0001
dog,common_noun,1,0,12240,dog,,dog,layer_23,▁dog,0.999814,2,,2,dog,0.867429,1,,1,▁dog:0.9998;dog:0.0002;▁dogs:0.0000;Dog:0.0000;▁Dog:0.0000,dog:0.8674;Dog:0.0962;▁dog:0.0289;▁Dog:0.0037;▁DOG:0.0027
dog,common_noun,1,0,12240,dog,,dog,layer_25,<eos>,1.0,379,,379,dog,0.507396,1,,1,"<eos>:1.0000;

:0.0000;-:0.0000;.:0.0000;▁(:0.0000","dog:0.5074;

:0.2149;do:0.1100;bed:0.0265;og:0.0264"
dog,common_noun,1,0,12240,dog,,dog,layer_26,<eos>,1.0,1544,,1544,dog,0.956829,1,,1,<eos>:1.0000;.:0.0000;▁(:0.0000;-:0.0000;▁and:0.0000,"dog:0.9568;log:0.0034;

:0.0030;tag:0.0028;do:0.0024"
dog,common_noun,1,0,12240,dog,,dog,final_logits,dog,0.935511,1,,1,,,,,,"dog:0.9355;log:0.0050;

:0.0043;tag:0.0041;do:0.0035",
table,common_noun,1,0,1785,table,,table,emb,table,1.0,1,,1,table,1.0,1,,1,table:1.0000;▁table:0.0000;Table:0.0000;▁Table:0.0000;TABLE:0.0000,table:1.0000;▁table:0.0000;Table:0.0000;▁Table:0.0000;<unk>:0.0000
table,common_noun,1,0,1785,table,,table,layer_1,table,1.0,1,,1,table,1.0,1,,1,table:1.0000;▁table:0.0000;Table:0.0000;▁Table:0.0000;TABLE:0.0000,table:1.0000;▁table:0.0000;Table:0.0000;▁Table:0.0000;TABLE:0.0000
table,common_noun,1,0,1785,table,,table,layer_2,table,0.87076,1,,1,table,1.0,1,,1,table:0.8708;<bos>:0.1292;▁table:0.0000;Table:0.0000;▁Table:0.0000,table:1.0000;▁table:0.0000;Table:0.0000;▁Table:0.0000;▁tables:0.0000
table,common_noun,1,0,1785,table,,table,layer_3,<bos>,0.9966,2,,2,table,0.999999,1,,1,<bos>:0.9966;table:0.0034;▁table:0.0000;Table:0.0000;▁Table:0.0000,table:1.0000;▁table:0.0000;Table:0.0000;▁Table:0.0000;▁tables:0.0000
table,common_noun,1,0,1785,table,,table,layer_6,<bos>,0.999933,6,,6,▁table,0.658535,5,,5,<bos>:0.9999;▁table:0.0000;▁tables:0.0000;Table:0.0000;▁Table:0.0000,▁table:0.6585;▁tables:0.2531;Table:0.0463;▁Table:0.0398;table:0.0023
table,common_noun,1,0,1785,table,,table,layer_9,▁Table,0.921297,8,,8,▁Table,0.941,5,,5,▁Table:0.9213;Table:0.0417;▁table:0.0225;enumi:0.0070;▁tables:0.0050,▁Table:0.9410;Table:0.0442;▁table:0.0099;▁tables:0.0040;table:0.0007
table,common_noun,1,0,1785,table,,table,layer_12,Παραπομπές,0.567251,251,,251,▁Table,0.396141,8,,8,Παραπομπές:0.5673;\{\\:0.1747;</thead>:0.1445;▁فريبيس:0.0469;▁houſe:0.0358,▁Table:0.3961;</thead>:0.3695;Table:0.1272;▁TABLE:0.0679;▁table:0.0073
table,common_noun,1,0,1785,table,,table,layer_14,enumi,0.998023,73,,73,enumi,0.866331,9,,9,enumi:0.9980;▁lainnya:0.0005;kolwiek:0.0004;.​:0.0001;\{\\:0.0001,enumi:0.8663;▁Table:0.0611;AddTagHelper:0.0278;▁TABLE:0.0139;Table:0.0098
table,common_noun,1,0,1785,table,,table,layer_17,▁table,0.715564,5,,5,▁Table,0.629584,5,,5,▁table:0.7156;▁Table:0.2841;▁TABLE:0.0002;Table:0.0001;table:0.0000,▁Table:0.6296;▁table:0.3656;▁TABLE:0.0027;Table:0.0017;table:0.0004
table,common_noun,1,0,1785,table,,table,layer_19,▁table,0.997641,7,,7,▁table,0.951891,6,,6,▁table:0.9976;▁Table:0.0024;▁TABLE:0.0000;Table:0.0000;▁houſe:0.0000,▁table:0.9519;▁Table:0.0368;▁houſe:0.0081;▁TABLE:0.0020;Table:0.0008
table,common_noun,1,0,1785,table,,table,layer_20,▁table,0.999976,4,,4,▁table,0.993225,6,,6,▁table:1.0000;▁Table:0.0000;Table:0.0000;table:0.0000;▁tables:0.0000,▁table:0.9932;▁Table:0.0064;Table:0.0002;▁TABLE:0.0001;▁tables:0.0000
table,common_noun,1,0,1785,table,,table,layer_21,▁table,0.999995,4,,4,▁table,0.690889,7,,7,▁table:1.0000;▁Table:0.0000;Table:0.0000;table:0.0000;▁location:0.0000,▁table:0.6909;▁houſe:0.2449;▁Table:0.0165;▁purpoſe:0.0157;▁TABLE:0.0156
table,common_noun,1,0,1785,table,,table,layer_23,▁table,1.0,2,,2,▁table,0.937675,2,,2,▁table:1.0000;table:0.0000;Table:0.0000;▁Table:0.0000;▁stable:0.0000,▁table:0.9377;table:0.0532;Table:0.0088;▁Table:0.0004;ToTable:0.0000
table,common_noun,1,0,1785,table,,table,layer_25,-,0.997402,2,,2,table,0.993568,1,,1,"-:0.9974;table:0.0026;.:0.0000;▁table:0.0000;
:0.0000",table:0.9936;Table:0.0063;▁table:0.0001;TABLE:0.0000;▁Table:0.0000
table,common_noun,1,0,1785,table,,table,layer_26,<eos>,0.99932,413,,413,table,0.792543,1,,1,"<eos>:0.9993;-:0.0007;.:0.0000;,:0.0000;▁(:0.0000",table:0.7925;stable:0.0214;cell:0.0138;able:0.0136;1:0.0135
table,common_noun,1,0,1785,table,,table,final_logits,table,0.62607,1,,1,,,,,,table:0.6261;stable:0.0313;cell:0.0213;able:0.0210;1:0.0208,
water,common_noun,1,0,6213,water,,water,emb,water,1.0,1,,1,water,1.0,1,,1,water:1.0000;WATER:0.0000;▁water:0.0000;Water:0.0000;▁Water:0.0000,water:1.0000;WATER:0.0000;▁water:0.0000;Water:0.0000;▁Water:0.0000
water,common_noun,1,0,6213,water,,water,layer_1,water,0.999999,1,,1,water,1.0,1,,1,water:1.0000;▁water:0.0000;Water:0.0000;WATER:0.0000;▁Water:0.0000,water:1.0000;▁water:0.0000;Water:0.0000;WATER:0.0000;▁Water:0.0000
water,common_noun,1,0,6213,water,,water,layer_2,<bos>,1.0,2,,2,water,1.0,1,,1,<bos>:1.0000;water:0.0000;▁water:0.0000;Water:0.0000;▁Water:0.0000,water:1.0000;▁water:0.0000;Water:0.0000;WATER:0.0000;▁Water:0.0000
