word,category,n_tokens,pos,token_id,token,next_token_id,final_top1_token,probe,raw_top1,raw_top1_prob,raw_self_rank,raw_next_rank,raw_final1_rank,normed_top1,normed_top1_prob,normed_self_rank,normed_next_rank,normed_final1_rank,raw_top5,normed_top5
dog,common_noun,1,0,9703,dog,,",",emb,dog,0.811988,1,,50202,dog,1.0,1,,48101,dog:0.8120;dogs:0.0298;Dog:0.0018;ĠDogs:0.0003;ĠDog:0.0003,dog:1.0000;dogs:0.0000;Dog:0.0000;Ġdog:0.0000;ĠDogs:0.0000
dog,common_noun,1,0,9703,dog,,",",layer_1,",",0.588559,1219,,1,dog,0.020231,1,,4,",:0.5886;Ġthe:0.4113;Ġand:0.0001;.:0.0000;Ċ:0.0000","dog:0.0202;Ġand:0.0201;Ċ:0.0189;,:0.0168;Ġthe:0.0120"
dog,common_noun,1,0,9703,dog,,",",layer_2,",",0.973609,5803,,1,",",0.059117,3038,,1,",:0.9736;Ġthe:0.0264;-:0.0000;Ġand:0.0000;.:0.0000",",:0.0591;Ġthe:0.0436;Ġand:0.0387;Ċ:0.0295;.:0.0265"
dog,common_noun,1,0,9703,dog,,",",layer_3,Ġthe,0.930529,7611,,2,",",0.02801,10141,,1,"Ġthe:0.9305;,:0.0695;):0.0000;%:0.0000;*:0.0000",",:0.0280;Ġthe:0.0260;Ġand:0.0192;Ċ:0.0150;.:0.0147"
dog,common_noun,1,0,9703,dog,,",",layer_4,Ġthe,0.960305,7659,,2,",",0.028107,10540,,1,"Ġthe:0.9603;,:0.0397;):0.0000;%:0.0000;*:0.0000",",:0.0281;Ġthe:0.0263;Ġand:0.0191;Ċ:0.0151;.:0.0147"
dog,common_noun,1,0,9703,dog,,",",layer_5,Ġthe,0.967085,7724,,2,",",0.027858,10836,,1,"Ġthe:0.9671;,:0.0329;):0.0000;%:0.0000;*:0.0000",",:0.0279;Ġthe:0.0261;Ġand:0.0189;Ċ:0.0150;.:0.0146"
dog,common_noun,1,0,9703,dog,,",",layer_6,Ġthe,0.958615,7771,,2,",",0.027497,11082,,1,"Ġthe:0.9586;,:0.0414;):0.0000;%:0.0000;*:0.0000",",:0.0275;Ġthe:0.0257;Ġand:0.0187;Ċ:0.0148;.:0.0145"
dog,common_noun,1,0,9703,dog,,",",layer_7,Ġthe,0.938449,7827,,2,",",0.027375,11279,,1,"Ġthe:0.9384;,:0.0616;):0.0000;%:0.0000;*:0.0000",",:0.0274;Ġthe:0.0254;Ġand:0.0186;Ċ:0.0146;.:0.0144"
dog,common_noun,1,0,9703,dog,,",",layer_8,Ġthe,0.916203,7867,,2,",",0.02741,11369,,1,"Ġthe:0.9162;,:0.0838;):0.0000;%:0.0000;*:0.0000",",:0.0274;Ġthe:0.0253;Ġand:0.0186;Ċ:0.0146;.:0.0144"
dog,common_noun,1,0,9703,dog,,",",layer_9,Ġthe,0.855097,7909,,2,",",0.027666,11433,,1,"Ġthe:0.8551;,:0.1449;):0.0000;%:0.0000;*:0.0000",",:0.0277;Ġthe:0.0253;Ġand:0.0187;Ċ:0.0147;.:0.0146"
dog,common_noun,1,0,9703,dog,,",",layer_10,Ġthe,0.72899,7939,,2,",",0.02805,11516,,1,"Ġthe:0.7290;,:0.2710;):0.0000;%:0.0000;*:0.0000",",:0.0281;Ġthe:0.0253;Ġand:0.0188;.:0.0148;Ċ:0.0147"
dog,common_noun,1,0,9703,dog,,",",layer_11,",",0.643777,7983,,1,",",0.028762,11553,,1,",:0.6438;Ġthe:0.3562;):0.0000;%:0.0000;*:0.0000",",:0.0288;Ġthe:0.0254;Ġand:0.0192;.:0.0152;Ċ:0.0148"
dog,common_noun,1,0,9703,dog,,",",layer_12,",",0.999998,3846,,1,",",0.047116,1223,,1,",:1.0000;Ġthe:0.0000;.:0.0000;-:0.0000;Ġand:0.0000",",:0.0471;.:0.0448;Ġand:0.0268;Ċ:0.0216;-:0.0165"
dog,common_noun,1,0,9703,dog,,",",final_logits,",",0.047116,1223,,1,,,,,,",:0.0471;.:0.0448;Ġand:0.0268;Ċ:0.0216;-:0.0165",
table,common_noun,1,0,11487,table,,.,emb,table,0.94139,1,,50037,table,1.0,1,,45173,table:0.9414;TABLE:0.0020;Table:0.0005;Ġtable:0.0002;ĠTable:0.0002,table:1.0000;TABLE:0.0000;Table:0.0000;Ġtable:0.0000;ĠTable:0.0000
table,common_noun,1,0,11487,table,,.,layer_1,",",0.99952,2052,,3,",",0.041739,17,,4,",:0.9995;Ġthe:0.0005;.:0.0000;Ġand:0.0000;-:0.0000",",:0.0417;Ċ:0.0362;Ġ(:0.0228;.:0.0187;Ġand:0.0163"
table,common_noun,1,0,11487,table,,.,layer_2,",",0.999669,6181,,5,",",0.066365,3483,,5,",:0.9997;Ġthe:0.0003;-:0.0000;Ġand:0.0000;.:0.0000",",:0.0664;Ġthe:0.0385;Ġand:0.0355;Ċ:0.0354;.:0.0335"
table,common_noun,1,0,11487,table,,.,layer_3,",",0.866557,7453,,5,",",0.02894,9874,,5,",:0.8666;Ġthe:0.1334;):0.0000;%:0.0000;*:0.0000",",:0.0289;Ġthe:0.0254;Ġand:0.0188;Ċ:0.0158;.:0.0156"
table,common_noun,1,0,11487,table,,.,layer_4,",",0.793826,7499,,5,",",0.029004,10167,,5,",:0.7938;Ġthe:0.2062;):0.0000;%:0.0000;*:0.0000",",:0.0290;Ġthe:0.0257;Ġand:0.0189;Ċ:0.0158;.:0.0156"
table,common_noun,1,0,11487,table,,.,layer_5,",",0.758332,7529,,5,",",0.028697,10380,,5,",:0.7583;Ġthe:0.2417;):0.0000;%:0.0000;*:0.0000",",:0.0287;Ġthe:0.0255;Ġand:0.0187;Ċ:0.0156;.:0.0155"
table,common_noun,1,0,11487,table,,.,layer_6,",",0.794584,7548,,5,",",0.028295,10505,,5,",:0.7946;Ġthe:0.2054;):0.0000;%:0.0000;*:0.0000",",:0.0283;Ġthe:0.0251;Ġand:0.0184;Ċ:0.0154;.:0.0153"
table,common_noun,1,0,11487,table,,.,layer_7,",",0.841337,7572,,5,",",0.028158,10576,,5,",:0.8413;Ġthe:0.1587;):0.0000;%:0.0000;*:0.0000",",:0.0282;Ġthe:0.0249;Ġand:0.0183;Ċ:0.0152;.:0.0152"
table,common_noun,1,0,11487,table,,.,layer_8,",",0.889625,7572,,5,",",0.028194,10529,,4,",:0.8896;Ġthe:0.1104;):0.0000;%:0.0000;*:0.0000",",:0.0282;Ġthe:0.0248;Ġand:0.0183;.:0.0152;Ċ:0.0152"
