word,category,n_tokens,pos,token_id,token,next_token_id,final_top1_token,probe,raw_top1,raw_top1_prob,raw_self_rank,raw_next_rank,raw_final1_rank,normed_top1,normed_top1_prob,normed_self_rank,normed_next_rank,normed_final1_rank,raw_top5,normed_top5
dog,common_noun,1,0,30146,dog,,',emb,UIC,0.000148,6666,,4298,UIC,0.763315,5782,,52116,UIC:0.0001;ĠUD:0.0001;Ġment:0.0001;Ġust:0.0001;dew:0.0001,UIC:0.7633;dew:0.0340;ĠUD:0.0201;ĠSeren:0.0191;dut:0.0188
dog,common_noun,1,0,30146,dog,,',layer_1,Ġb,0.000397,2902,,67,UIC,0.237302,2709,,32765,Ġb:0.0004;o:0.0003;f:0.0003;a:0.0003;Ġf:0.0003,UIC:0.2373;burn:0.1823;dut:0.1597;ĠUD:0.0254;vict:0.0252
dog,common_noun,1,0,30146,dog,,',layer_2,f,0.000826,2181,,91,burn,0.566475,2078,,29606,f:0.0008;Ġb:0.0008;a:0.0007;o:0.0007;<|endoftext|>:0.0007,burn:0.5665;dut:0.0572;Ġcann:0.0479;ĠTim:0.0259;works:0.0230
dog,common_noun,1,0,30146,dog,,',layer_3,f,0.001331,1709,,101,burn,0.524321,1337,,25936,f:0.0013;Ġb:0.0013;a:0.0011;Ġf:0.0011;<|endoftext|>:0.0010,burn:0.5243;dut:0.1061;Ġcann:0.0560;ĠTim:0.0468;oras:0.0277
dog,common_noun,1,0,30146,dog,,',layer_5,<|endoftext|>,0.446684,900,,104,burn,0.128139,96,,10217,<|endoftext|>:0.4467;f:0.0476;a:0.0183;Ġf:0.0118;d:0.0071,burn:0.1281;Ġexc:0.0566;Ġcusp:0.0470;Ġcab:0.0414;aan:0.0321
dog,common_noun,1,0,30146,dog,,',layer_8,ĠbÃ¥de,0.999994,161600,,56548,ĠBOTH,0.27911,163730,,73496,ĠbÃ¥de:1.0000;ĠBOTH:0.0000;both:0.0000;):0.0000;(:0.0000,ĠBOTH:0.2791;ĠbÃ¥de:0.2625;both:0.0974;Ġ]čĊ:0.0386;ĉthen:0.0300
dog,common_noun,1,0,30146,dog,,',layer_11,ĠBOTH,0.990964,161225,,74837,ĠBOTH,0.2974,161642,,75216,ĠBOTH:0.9910;ĠbÃ¥de:0.0090;both:0.0000;):0.0000;(:0.0000,ĠBOTH:0.2974;ĠbÃ¥de:0.2676;both:0.1028;Ġ]čĊ:0.0327;ĉthen:0.0279
dog,common_noun,1,0,30146,dog,,',layer_13,ĠBOTH,0.996673,161053,,75418,ĠBOTH,0.292823,161288,,73174,ĠBOTH:0.9967;ĠbÃ¥de:0.0033;both:0.0000;):0.0000;(:0.0000,ĠBOTH:0.2928;ĠbÃ¥de:0.2680;both:0.1035;Ġ]čĊ:0.0320;ĉthen:0.0278
dog,common_noun,1,0,30146,dog,,',layer_15,ĠbÃ¥de,0.758622,158889,,63587,ĠBOTH,0.278455,159994,,66779,ĠbÃ¥de:0.7586;ĠBOTH:0.2414;both:0.0000;):0.0000;(:0.0000,ĠBOTH:0.2785;ĠbÃ¥de:0.2723;both:0.1149;Ġ]čĊ:0.0297;ĠBoth:0.0283
dog,common_noun,1,0,30146,dog,,',layer_16,ĠbÃ¥de,0.762667,156628,,53524,ĠBOTH,0.276959,158514,,61091,ĠbÃ¥de:0.7627;ĠBOTH:0.2373;both:0.0000;):0.0000;(:0.0000,ĠBOTH:0.2770;ĠbÃ¥de:0.2658;both:0.1242;ĠBoth:0.0311;Ġ]čĊ:0.0276
